,url
0,https://english.kyodonews.net/news/2022/05/b8df28819d69-coronavirus-pandemic-latest-may-13-2022.html
1,https://english.kyodonews.net/news/2022/05/9e466e957cf5-japan-firms-net-profit-in-jan-march-falls-413-on-cost-hikes.html
2,https://english.kyodonews.net/news/2022/05/f053be15816e-japan-ukraine-top-diplomats-agree-to-keep-strong-sanctions-on-russia.html
3,https://english.kyodonews.net/news/2022/05/5f41ea588d09-breaking-news-n-korea-seems-ready-for-nuclear-test-s-korea-presidential-office.html
4,https://english.kyodonews.net/news/2022/05/6c7fa79009fd-update1-hondas-net-profit-rises-76-to-70707-bil-yen-in-fy-2021.html
5,https://english.kyodonews.net/news/2022/05/340dec05e50c-ueno-zoo-pandas-return-to-china-delayed-again-due-to-pandemic.html
6,https://english.kyodonews.net/news/2022/05/7ee60c1d2e0f-kyodo-news-digest-may-13-2022--1-.html
7,https://english.kyodonews.net/news/2022/05/66df8c6d2d7a-japan-accepted-74-refugees-in-2021-highest-on-record.html
8,https://english.kyodonews.net/news/2022/05/e42682bd3a8e-sumo-terunofuji-suffers-2nd-defeat-as-aoiyama-takes-sole-lead.html
9,https://english.kyodonews.net/news/2022/05/f4c1a3426d4a-body-possibly-of-person-from-sunken-boat-found-on-disputed-isle.html
10,https://english.kyodonews.net/news/2022/05/ff2c735b340d-n-korea-reports-1st-covid-19-death-over-180000-quarantined.html
11,https://english.kyodonews.net/news/2022/05/4b68b6498766-eu-council-chief-condemns-russian-nuclear-threat-in-hiroshima.html
12,https://english.kyodonews.net/news/2022/05/d0f56ccf0675-chinese-woman-held-for-claiming-beijing-lockdown-imminent-reports.html
13,https://english.kyodonews.net/news/2022/05/f8825dcea6b0-japan-and-beyond-week-in-photos---may-713.html
14,https://english.kyodonews.net/news/2022/05/bebbe4c2af2a-photographers-flock-to-shikoku-station-to-shoot-azaleas.html
15,https://english.kyodonews.net/news/2022/05/5f9cdcd8f465-japanese-stars-prove-crucial-to-celtics-scottish-premiership-title.html
16,https://english.kyodonews.net/news/2022/05/d266f1e672b1-baseball-sasaki-claims-monthly-pitcher-award-after-perfect-start.html
17,https://english.kyodonews.net/news/2022/05/f4293842f394-feature-mixed-race-okinawans-begin-to-find-voice-amid-tensions-over-us-bases.html
18,https://english.kyodonews.net/news/2022/05/b53f24072872-japan-agrees-with-britain-canada-france-on-g-7-unity-against-russia.html
19,https://english.kyodonews.net/news/2022/05/22e85cc1d880-us-hosts-asean-leaders-seeking-deeper-engagement-amid-chinas-rise.html
20,https://english.kyodonews.net/news/2022/05/8d2ce4ff42e1-us-senate-oks-powell-for-2nd-term-as-fed-chair-amid-inflation-woes.html
21,https://english.kyodonews.net/news/2022/05/2d6d85f7881f-japan-pm-vows-to-help-developing-nations-covid-response-with-5-bil.html
22,https://english.kyodonews.net/news/2022/05/eba11c3cf29a-update1-chinese-aircraft-carriers-activity-security-concern-japan-officer.html
23,https://english.kyodonews.net/news/2022/05/9c06651a4f19-coronavirus-pandemic-latest-may-12-2022.html
24,https://english.kyodonews.net/news/2022/05/c45883114c09-breaking-news-n-korea-fires-what-appears-to-be-ballistic-missile-japan-govt.html
25,https://english.kyodonews.net/news/2022/05/fcb2eb1f419f-nissan-returns-to-black-in-fy-2021-logs-net-profit-of-215-bil-yen.html
26,https://english.kyodonews.net/news/2022/05/b1a26261faf4-softbank-group-logs-net-loss-of-171-tril-yen-in-fy-2021.html
27,https://english.kyodonews.net/news/2022/05/b0bbbefb9635-finland-says-will-apply-for-nato-membership-without-delay.html
28,https://english.kyodonews.net/news/2022/05/e28d953327d9-kyodo-news-digest-may-12-2022--1-.html
29,https://english.kyodonews.net/news/2022/05/00db58bfd076-urgent-s-korea-foreign-minister-to-build-future-oriented-ties-with-japan.html
30,https://english.kyodonews.net/news/2022/05/cde1dfb1a89d-sumo-yokozuna-terunofuji-cruises-to-4th-straight-victory.html
31,https://english.kyodonews.net/news/2022/05/d2cc69017e0f-urgent-n-korea-reports-coronavirus-case-for-1st-time.html
32,https://english.kyodonews.net/news/2022/05/7e1c3272e7d5-japan-eu-leaders-discuss-russia-sanctions-indo-pacific-security.html
33,https://english.kyodonews.net/news/2022/05/b3bd7f651613-japan-police-urge-officers-to-avoid-impression-of-racial-profiling.html
34,https://english.kyodonews.net/news/2022/05/48979f96e041-tennis-naomi-osaka-launches-own-sports-agency-reports.html
35,https://english.kyodonews.net/news/2022/05/2617011b3b3a-soccer-ex-marinos-boss-postecoglous-celtic-win-52nd-scottish-title.html
